,TeamID,SEASON,LeagueID,PLAYER,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
0,1610612737,2019,00,Jeff Teague,jeff-teague,00,G,6-3,195,"JUN 10, 1988",32.0,10,Wake Forest,201952
1,1610612737,2019,00,Brandon Goodwin,brandon-goodwin,0,G,6-0,180,"OCT 02, 1995",24.0,1,Florida Gulf Coast,1629164
2,1610612737,2019,00,Treveon Graham,treveon-graham,2,G-F,6-5,219,"OCT 28, 1993",26.0,3,Va Commonwealth,1626203
3,1610612737,2019,00,Kevin Huerter,kevin-huerter,3,G-F,6-7,190,"AUG 27, 1998",21.0,1,Maryland,1628989
4,1610612737,2019,00,Charles Brown Jr.,charles-brown-jr,4,G,6-6,199,"FEB 02, 1997",23.0,R,St. Joseph's (PA),1629718
5,1610612737,2019,00,Skal Labissiere,skal-labissiere,7,F-C,6-10,235,"MAR 18, 1996",24.0,3,Kentucky,1627746
6,1610612737,2019,00,Trae Young,trae-young,11,G,6-1,180,"SEP 19, 1998",21.0,1,Oklahoma,1629027
7,1610612737,2019,00,De'Andre Hunter,deandre-hunter,12,F-G,6-7,225,"DEC 02, 1997",22.0,R,Virginia,1629631
8,1610612737,2019,00,Dewayne Dedmon,dewayne-dedmon,14,C,7-0,245,"AUG 12, 1989",30.0,6,USC,203473
9,1610612737,2019,00,Vince Carter,vince-carter,15,G-F,6-6,220,"JAN 26, 1977",43.0,21,North Carolina,1713
10,1610612737,2019,00,Clint Capela,clint-capela,15,C,6-10,240,"MAY 18, 1994",26.0,5, ,203991
11,1610612737,2019,00,John Collins,john-collins,20,F,6-9,235,"SEP 23, 1997",22.0,2,Wake Forest,1628381
12,1610612737,2019,00,Cam Reddish,cam-reddish,22,F-G,6-8,218,"SEP 01, 1999",20.0,R,Duke,1629629
13,1610612737,2019,00,Bruno Fernando,bruno-fernando,24,F-C,6-9,240,"AUG 15, 1998",21.0,R,Maryland,1628981
14,1610612737,2019,00,Damian Jones,damian-jones,30,C,6-11,245,"JUN 30, 1995",25.0,3,Vanderbilt,1627745
15,1610612737,2019,00,DeAndre' Bembry,deandre-bembry,95,G-F,6-5,210,"JUL 04, 1994",25.0,3,St. Joseph's (PA),1627761
0,1610612738,2019,00,Jayson Tatum,jayson-tatum,0,F-G,6-8,210,"MAR 03, 1998",22.0,2,Duke,1628369
1,1610612738,2019,00,Carsen Edwards,carsen-edwards,4,G,5-11,200,"MAR 12, 1998",22.0,R,Purdue,1629035
2,1610612738,2019,00,Jaylen Brown,jaylen-brown,7,G-F,6-6,223,"OCT 24, 1996",23.0,3,California,1627759
3,1610612738,2019,00,Kemba Walker,kemba-walker,8,G,6-0,184,"MAY 08, 1990",30.0,8,Connecticut,202689
4,1610612738,2019,00,Brad Wanamaker,brad-wanamaker,9,G,6-3,210,"JUL 25, 1989",30.0,1,Pittsburgh,202954
5,1610612738,2019,00,Enes Kanter,enes-kanter,11,C,6-10,250,"MAY 20, 1992",28.0,8, ,202683
6,1610612738,2019,00,Grant Williams,grant-williams,12,F,6-6,236,"NOV 30, 1998",21.0,R,Tennessee,1629684
7,1610612738,2019,00,Gordon Hayward,gordon-hayward,20,F,6-7,225,"MAR 23, 1990",30.0,9,Butler,202330
8,1610612738,2019,00,Daniel Theis,daniel-theis,27,F-C,6-8,245,"APR 04, 1992",28.0,2, ,1628464
9,1610612738,2019,00,Marcus Smart,marcus-smart,36,G,6-3,220,"MAR 06, 1994",26.0,5,Oklahoma State,203935
10,1610612738,2019,00,Semi Ojeleye,semi-ojeleye,37,F,6-6,240,"DEC 05, 1994",25.0,2,Southern Methodist,1628400
11,1610612738,2019,00,Javonte Green,javonte-green,43,G-F,6-4,205,"JUL 23, 1993",26.0,R,Radford University,1629750
12,1610612738,2019,00,Robert Williams III,robert-williams-iii,44,C-F,6-8,237,"OCT 17, 1997",22.0,1,Texas A&M,1629057
13,1610612738,2019,00,Romeo Langford,romeo-langford,45,G-F,6-4,216,"OCT 25, 1999",20.0,R,Indiana,1629641
14,1610612738,2019,00,Tremont Waters,tremont-waters,51,G,5-10,175,"JAN 10, 1998",22.0,R,Louisiana State,1629682
15,1610612738,2019,00,Vincent Poirier,vincent-poirier,77,C-F,7-0,235,"OCT 17, 1993",26.0,R, ,1629738
16,1610612738,2019,00,Tacko Fall,tacko-fall,99,C,7-5,311,"DEC 10, 1995",24.0,R,Central Florida,1629605
0,1610612751,2019,00,Rodions Kurucs,rodions-kurucs,00,F,6-9,228,"FEB 05, 1998",22.0,1, ,1629066
1,1610612751,2019,00,Jeremiah Martin,jeremiah-martin,0,G,6-2,185,"JUN 19, 1996",24.0,R,Memphis,1629725
2,1610612751,2019,00,Jamal Crawford,jamal-crawford,1,G,6-5,200,"MAR 20, 1980",40.0,19,Michigan,2037
3,1610612751,2019,00,Taurean Prince,taurean-prince,2,F,6-7,218,"MAR 22, 1994",26.0,3,Baylor,1627752
4,1610612751,2019,00,Chris Chiozza,chris-chiozza,4,G,5-11,175,"NOV 21, 1995",24.0,1,Florida,1629185
5,1610612751,2019,00,DeAndre Jordan,deandre-jordan,6,C,6-11,265,"JUL 21, 1988",31.0,11,Texas A&M,201599
6,1610612751,2019,00,Kevin Durant,kevin-durant,7,F,6-10,240,"SEP 29, 1988",31.0,12,Texas,201142
7,1610612751,2019,00,Tyler Johnson,tyler-johnson,8,G,6-3,186,"MAY 07, 1992",28.0,5,Fresno State,204020
8,1610612751,2019,00,Timothe Luwawu-Cabarrot,timothe-luwawu-cabarrot,9,G-F,6-7,220,"MAY 09, 1995",25.0,3, ,1627789
9,1610612751,2019,00,Justin Anderson,justin-anderson,10,F-G,6-5,231,"NOV 19, 1993",26.0,4,Virginia,1626147
10,1610612751,2019,00,Kyrie Irving,kyrie-irving,11,G,6-2,195,"MAR 23, 1992",28.0,8,Duke,202681
11,1610612751,2019,00,Joe Harris,joe-harris,12,G-F,6-6,220,"SEP 06, 1991",28.0,5,Virginia,203925
12,1610612751,2019,00,Dzanan Musa,dzanan-musa,13,G-F,6-9,217,"MAY 08, 1999",21.0,1, ,1629058
13,1610612751,2019,00,Garrett Temple,garrett-temple,17,G-F,6-5,195,"MAY 08, 1986",34.0,9,Louisiana State,202066
14,1610612751,2019,00,Wilson Chandler,wilson-chandler,21,F,6-8,235,"MAY 10, 1987",33.0,11,DePaul,201163
15,1610612751,2019,00,Caris LeVert,caris-levert,22,G,6-6,205,"AUG 25, 1994",25.0,3,Michigan,1627747
16,1610612751,2019,00,Spencer Dinwiddie,spencer-dinwiddie,26,G,6-5,215,"APR 06, 1993",27.0,5,Colorado,203915
17,1610612751,2019,00,Jarrett Allen,jarrett-allen,31,C,6-11,243,"APR 21, 1998",22.0,2,Texas,1628386
18,1610612751,2019,00,Nicolas Claxton,nicolas-claxton,33,F-C,6-11,215,"APR 17, 1999",21.0,R,Georgia,1629651
19,1610612751,2019,00,Lance Thomas,lance-thomas,42,F,6-8,225,"APR 24, 1988",32.0,8,Duke,202498
